crop_name,soil_texture,soil_ph_min,soil_ph_max,organic_matter,drainage_status,rainfall_min,rainfall_max,temperature_min,temperature_max
Wheat,Loam,6.0,7.5,Medium,Well-drained,400,700,20,30
Maize,Loam,6.0,7.0,High,Moderately drained,500,800,25,32
Rice,Clay,5.5,6.5,High,Poorly drained,1000,2000,25,35
Chickpea,Loam to clay loam,6.0,8.0,Medium,Well-drained,600,900,21,27
Pigeon pea,Loam to black cotton,6.5,8.5,Medium,Well-drained,600,1000,25,35
Green gram,Loam to sandy loam,6.2,7.5,Medium,Well-drained,600,1000,25,35
Black gram,Loam to clay loam,6.0,7.5,Medium,Well-drained,600,1000,25,35
Lentil,Loam to clay loam,6.0,7.5,Medium,Well-drained,350,600,18,28
Pea,Loam,6.0,7.5,Medium,Well-drained,400,600,15,25
Soybean,Loam to clay loam,6.0,7.5,Medium,Well-drained,600,1000,20,30
Groundnut,Sandy loam,6.0,7.5,High,Well-drained,500,1000,22,32
Mustard,Loam,6.0,8.0,Medium,Well-drained,400,800,10,25
Sunflower,Loam to sandy loam,6.0,7.5,Medium,Well-drained,500,750,20,30
Sesame,Sandy loam,6.0,7.5,Medium,Well-drained,400,800,25,35
Linseed,Loam,6.0,7.5,Medium,Well-drained,350,600,15,25
Safflower,Loam,6.0,7.5,Medium,Well-drained,400,700,20,30
Cotton,Deep black cotton/loam,6.0,7.5,High,Well-drained,500,1100,21,37
Jute,Alluvial,6.0,7.0,High,Poorly drained,1500,2000,24,37
Sugarcane,Loam,6.0,7.5,High,Well-drained,750,1200,20,35
Potato,Sandy loam,5.5,7.0,Medium,Well-drained,500,700,17,22
Sweet potato,Sandy loam,5.5,6.8,Medium,Well-drained,750,1000,20,32
Onion,Loam,6.0,7.5,Medium,Well-drained,650,750,13,25
Garlic,Loam,6.0,7.5,Medium,Well-drained,500,800,12,25
Tomato,Loam,6.0,7.0,Medium,Well-drained,600,700,21,27
Brinjal,Loam to sandy loam,6.0,7.0,Medium,Well-drained,500,650,22,35
Chilli,Loam to sandy loam,6.0,7.0,Medium,Well-drained,700,1000,20,30
Capsicum,Loam,6.0,6.8,Medium,Well-drained,600,1200,18,30
Cabbage,Loam,6.0,7.5,Medium,Well-drained,500,800,15,21
Cauliflower,Loam,6.0,7.0,Medium,Well-drained,600,900,15,20
Carrot,Sandy loam,6.0,7.0,Medium,Well-drained,250,350,16,20
Radish,Sandy loam,6.0,7.0,Medium,Well-drained,350,500,15,25
Turnip,Loam,6.0,7.5,Medium,Well-drained,400,600,10,24
Beetroot,Loam,6.0,7.5,Medium,Well-drained,400,700,15,25
Spinach,Loam to clay loam,6.5,7.8,Medium,Well-drained,500,700,15,30
Fenugreek,Loam,6.0,7.0,Medium,Well-drained,400,600,10,25
Coriander,Loam,6.0,7.5,Medium,Well-drained,400,700,15,27
Okra,Sandy loam,6.0,7.5,Medium,Well-drained,600,1000,25,35
Pumpkin,Loam to sandy loam,6.0,7.0,Medium,Well-drained,600,650,25,32
Bitter gourd,Sandy loam,6.0,7.0,Medium,Well-drained,400,600,24,27
Bottle gourd,Loam,6.0,7.0,Medium,Well-drained,600,800,24,32
Cucumber,Loam to sandy loam,5.5,7.0,Medium,Well-drained,500,800,22,30
Watermelon,Loam to sandy loam,6.0,7.0,Medium,Well-drained,400,600,23,30
Muskmelon,Sandy loam,6.0,7.5,Medium,Well-drained,400,600,24,30
Mango,Loam,5.5,7.5,Medium,Well-drained,750,2500,24,30
Banana,Alluvial to loam,6.0,7.5,High,Well-drained,1000,2500,20,35
Papaya,Loamy sand,6.0,6.5,Medium,Well-drained,1000,2000,22,35
Guava,Loam to sandy loam,6.0,7.5,Medium,Well-drained,1000,2000,23,35
Citrus,Loam,6.0,7.5,Medium,Well-drained,750,1500,20,32
Pomegranate,Loam to sandy loam,6.5,7.5,Medium,Well-drained,500,800,25,35
Grapes,Loam,6.0,7.0,Medium,Well-drained,700,1200,22,32
Pineapple,Loam,4.5,6.5,High,Well-drained,1000,1500,15,30
Apple,Loam,6.0,7.0,Medium,Well-drained,1000,1250,15,24
Pear,Loam,6.0,7.5,Medium,Well-drained,900,1800,16,26
Plum,Loam,6.0,7.5,Medium,Well-drained,1000,1300,15,30
Peach,Loam,6.0,7.5,Medium,Well-drained,900,1500,15,27
Litchi,Loam to alluvial,5.5,7.0,High,Well-drained,1500,2000,22,32
Jackfruit,Loam,6.0,7.5,Medium,Well-drained,1200,2500,22,35
